,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
117,300.0,169.0,193.0, GVWY,4718.0,10.0,471.8, PRDE,910.0,10.1,91.0, SHVR,6810.0,10.2,681.0, SNPR,2538.0,10.3,253.8, ZIC,4221.0,10.4,422.1, ZIP,3549.0,10.5,354.9,0,512,2.0
66,300.0,178.0,183.0, GVWY,1532.0,10.0,153.2, PRDE,1683.0,10.1,168.3, SHVR,5825.0,10.2,582.5, SNPR,2444.0,10.3,244.4, ZIC,2819.0,10.4,281.9, ZIP,8748.0,10.5,874.8,0,1024,0.0
668,300.0,171.0,192.0, GVWY,9874.0,10.0,987.4, PRDE,3456.0,10.1,345.6, SHVR,4660.0,10.2,466.0, SNPR,1923.0,10.3,192.3, ZIC,1768.0,10.4,176.8, ZIP,6933.0,10.5,693.3,0,1024,0.2
376,300.0,181.0,182.0, GVWY,5437.0,10.0,543.7, PRDE,2267.0,10.1,226.7, SHVR,3887.0,10.2,388.7, SNPR,2184.0,10.3,218.4, ZIC,2063.0,10.4,206.3, ZIP,7231.0,10.5,723.1,0,1024,0.4
132,300.0,172.0,182.0, GVWY,7571.0,10.0,757.1, PRDE,5929.0,10.1,592.9, SHVR,6015.0,10.2,601.5, SNPR,1563.0,10.3,156.3, ZIC,191.0,10.4,19.1, ZIP,7503.0,10.5,750.3,0,1024,0.6
56,300.0,180.0,198.0, GVWY,732.0,10.0,73.2, PRDE,3554.0,10.1,355.4, SHVR,2649.0,10.2,264.9, SNPR,3194.0,10.3,319.4, ZIC,1343.0,10.4,134.3, ZIP,8812.0,10.5,881.2,0,1024,0.8
133,300.0,170.0,186.0, GVWY,9718.0,10.0,971.8, PRDE,1317.0,10.1,131.7, SHVR,4924.0,10.2,492.4, SNPR,1820.0,10.3,182.0, ZIC,4478.0,10.4,447.8, ZIP,6209.0,10.5,620.9,0,1024,1.1
2,300.0,164.0,179.0, GVWY,8054.0,10.0,805.4, PRDE,2288.0,10.1,228.8, SHVR,4268.0,10.2,426.8, SNPR,1614.0,10.3,161.4, ZIC,976.0,10.4,97.6, ZIP,8912.0,10.5,891.2,0,1024,1.3
478,300.0,174.0,188.0, GVWY,7020.0,10.0,702.0, PRDE,1945.0,10.1,194.5, SHVR,8436.0,10.2,843.6, SNPR,1387.0,10.3,138.7, ZIC,4177.0,10.4,417.7, ZIP,4636.0,10.5,463.6,0,1024,1.5
54,300.0,174.0,185.0, GVWY,5371.0,10.0,537.1, PRDE,1127.0,10.1,112.7, SHVR,8348.0,10.2,834.8, SNPR,941.0,10.3,94.1, ZIC,6238.0,10.4,623.8, ZIP,5951.0,10.5,595.1,0,1024,1.7
831,300.0,179.0,180.0, GVWY,6549.0,10.0,654.9, PRDE,4894.0,10.1,489.4, SHVR,7791.0,10.2,779.1, SNPR,1702.0,10.3,170.2, ZIC,3649.0,10.4,364.9, ZIP,3913.0,10.5,391.3,0,1024,2.0
895,300.0,165.0,178.0, GVWY,8570.0,10.0,857.0, PRDE,6669.0,10.1,666.9, SHVR,5483.0,10.2,548.3, SNPR,780.0,10.3,78.0, ZIC,4827.0,10.4,482.7, ZIP,3915.0,10.5,391.5,1,4,0.0
682,300.0,177.0,205.0, GVWY,6251.0,10.0,625.1, PRDE,3067.0,10.1,306.7, SHVR,2123.0,10.2,212.3, SNPR,1612.0,10.3,161.2, ZIC,1049.0,10.4,104.9, ZIP,12143.0,10.5,1214.3,1,4,0.2
661,300.0,188.0,201.0, GVWY,8698.0,10.0,869.8, PRDE,4716.0,10.1,471.6, SHVR,6448.0,10.2,644.8, SNPR,1216.0,10.3,121.6, ZIC,2482.0,10.4,248.2, ZIP,4909.0,10.5,490.9,1,4,0.4
651,300.0,173.0,185.0, GVWY,2617.0,10.0,261.7, PRDE,2888.0,10.1,288.8, SHVR,5391.0,10.2,539.1, SNPR,2255.0,10.3,225.5, ZIC,4130.0,10.4,413.0, ZIP,4551.0,10.5,455.1,1,4,0.6
512,300.0,161.0,198.0, GVWY,8887.0,10.0,888.7, PRDE,2941.0,10.1,294.1, SHVR,6508.0,10.2,650.8, SNPR,1016.0,10.3,101.6, ZIC,3341.0,10.4,334.1, ZIP,7542.0,10.5,754.2,1,4,0.8
321,300.0,185.0,192.0, GVWY,6979.0,10.0,697.9, PRDE,1084.0,10.1,108.4, SHVR,8496.0,10.2,849.6, SNPR,1577.0,10.3,157.7, ZIC,3101.0,10.4,310.1, ZIP,4549.0,10.5,454.9,1,4,1.1
518,300.0,175.0,195.0, GVWY,7058.0,10.0,705.8, PRDE,3406.0,10.1,340.6, SHVR,2761.0,10.2,276.1, SNPR,1335.0,10.3,133.5, ZIC,2863.0,10.4,286.3, ZIP,9347.0,10.5,934.7,1,4,1.3
825,300.0,179.0,185.0, GVWY,5788.0,10.0,578.8, PRDE,2968.0,10.1,296.8, SHVR,7635.0,10.2,763.5, SNPR,1880.0,10.3,188.0, ZIC,3926.0,10.4,392.6, ZIP,4432.0,10.5,443.2,1,4,1.5
525,300.0,167.0,182.0, GVWY,3575.0,10.0,357.5, PRDE,7414.0,10.1,741.4, SHVR,6629.0,10.2,662.9, SNPR,1209.0,10.3,120.9, ZIC,4466.0,10.4,446.6, ZIP,5339.0,10.5,533.9,1,4,1.7
669,300.0,177.0,185.0, GVWY,8941.0,10.0,894.1, PRDE,2825.0,10.1,282.5, SHVR,6073.0,10.2,607.3, SNPR,818.0,10.3,81.8, ZIC,2449.0,10.4,244.9, ZIP,8423.0,10.5,842.3,1,4,2.0
732,300.0,178.0,200.0, GVWY,5399.0,10.0,539.9, PRDE,4212.0,10.1,421.2, SHVR,3117.0,10.2,311.7, SNPR,1435.0,10.3,143.5, ZIC,5243.0,10.4,524.3, ZIP,5713.0,10.5,571.3,1,8,0.0
