,avg_profit1,run_n,k,F
202,462.9,6,16,0.4
632,80.7,6,16,0.6
382,340.8,6,16,0.8
647,84.9,6,16,1.1
606,256.6,6,16,1.3
613,129.9,6,16,1.5
441,466.5,6,16,1.7
33,758.3,6,16,2.0
444,175.0,6,32,0.0
827,214.4,6,32,0.2
187,573.7,6,32,0.4
642,390.7,6,32,0.6
726,155.7,6,32,0.8
789,625.4,6,32,1.1
636,312.1,6,32,1.3
538,336.6,6,32,1.5
194,232.8,6,32,1.7
483,171.9,6,32,2.0
363,55.5,6,64,0.0
324,349.4,6,64,0.2
740,519.7,6,64,0.4
87,84.9,6,64,0.6
117,247.3,6,64,0.8
742,278.2,6,64,1.1
594,310.8,6,64,1.3
375,119.5,6,64,1.5
700,727.4,6,64,1.7
291,128.1,6,64,2.0
893,303.5,6,128,0.0
898,144.4,6,128,0.2
26,397.3,6,128,0.4
230,345.9,6,128,0.6
455,542.8,6,128,0.8
520,123.4,6,128,1.1
832,449.3,6,128,1.3
89,414.3,6,128,1.5
668,77.0,6,128,1.7
755,395.4,6,128,2.0
44,203.7,6,256,0.0
24,58.9,6,256,0.2
415,532.2,6,256,0.4
706,168.2,6,256,0.6
176,245.5,6,256,0.8
57,184.7,6,256,1.1
523,252.2,6,256,1.3
142,372.9,6,256,1.5
250,327.1,6,256,1.7
107,352.8,6,256,2.0
378,219.4,6,512,0.0
284,343.9,6,512,0.2
621,256.8,6,512,0.4
575,449.1,6,512,0.6
344,329.8,6,512,0.8
173,539.9,6,512,1.1
63,224.6,6,512,1.3
95,582.5,6,512,1.5
512,541.7,6,512,1.7
513,221.1,6,512,2.0
592,610.4,6,1024,0.0
260,330.7,6,1024,0.2
121,266.9,6,1024,0.4
265,282.0,6,1024,0.6
900,491.3,6,1024,0.8
266,278.7,6,1024,1.1
698,379.6,6,1024,1.3
454,500.6,6,1024,1.5
890,361.3,6,1024,1.7
109,639.5,6,1024,2.0
645,376.6,7,4,0.0
508,185.4,7,4,0.2
273,182.4,7,4,0.4
258,596.7,7,4,0.6
467,299.8,7,4,0.8
488,312.7,7,4,1.1
267,335.1,7,4,1.3
386,143.6,7,4,1.5
859,110.4,7,4,1.7
888,941.7,7,4,2.0
701,309.8,7,8,0.0
497,847.0,7,8,0.2
690,115.6,7,8,0.4
641,449.5,7,8,0.6
3,467.2,7,8,0.8
423,269.9,7,8,1.1
440,139.1,7,8,1.3
373,542.7,7,8,1.5
431,411.3,7,8,1.7
776,101.7,7,8,2.0
466,100.9,7,16,0.0
495,420.2,7,16,0.2
133,410.9,7,16,0.4
749,264.2,7,16,0.6
635,359.7,7,16,0.8
618,396.9,7,16,1.1
590,399.3,7,16,1.3
319,268.1,7,16,1.5
534,122.9,7,16,1.7
671,314.9,7,16,2.0
554,362.4,7,32,0.0
675,187.7,7,32,0.2
812,313.1,7,32,0.4
804,160.1,7,32,0.6
129,351.0,7,32,0.8
879,436.0,7,32,1.1
427,334.4,7,32,1.3
148,119.7,7,32,1.5
588,303.9,7,32,1.7
656,286.3,7,32,2.0
771,339.8,7,64,0.0
408,365.7,7,64,0.2
314,83.3,7,64,0.4
865,422.2,7,64,0.6
693,436.5,7,64,0.8
211,195.6,7,64,1.1
424,305.7,7,64,1.3
204,393.0,7,64,1.5
368,321.0,7,64,1.7
362,125.8,7,64,2.0
666,69.0,7,128,0.0
477,420.7,7,128,0.2
517,1059.7,7,128,0.4
307,183.4,7,128,0.6
627,335.4,7,128,0.8
364,259.9,7,128,1.1
663,34.5,7,128,1.3
585,43.0,7,128,1.5
503,330.8,7,128,1.7
323,409.8,7,128,2.0
163,234.3,7,256,0.0
595,296.6,7,256,0.2
160,448.3,7,256,0.4
276,509.9,7,256,0.6
394,165.6,7,256,0.8
233,404.7,7,256,1.1
350,88.3,7,256,1.3
243,295.0,7,256,1.5
365,87.7,7,256,1.7
492,365.1,7,256,2.0
810,118.0,7,512,0.0
514,246.7,7,512,0.2
855,340.4,7,512,0.4
131,113.3,7,512,0.6
168,181.9,7,512,0.8
218,224.5,7,512,1.1
806,56.3,7,512,1.3
730,318.6,7,512,1.5
207,91.8,7,512,1.7
713,109.3,7,512,2.0
277,461.4,7,1024,0.0
691,224.0,7,1024,0.2
753,579.6,7,1024,0.4
225,338.0,7,1024,0.6
183,267.8,7,1024,0.8
208,241.8,7,1024,1.1
110,331.7,7,1024,1.3
711,263.0,7,1024,1.5
820,265.7,7,1024,1.7
476,289.9,7,1024,2.0
640,421.5,8,4,0.0
688,182.6,8,4,0.2
69,360.9,8,4,0.4
17,625.3,8,4,0.6
574,297.1,8,4,0.8
