,avg_profit1,run_n,k,F
749,371.4,9,1024,0.0
181,277.8,9,1024,0.2
220,309.3,9,1024,0.4
600,628.9,9,1024,0.6
101,367.2,9,1024,0.8
579,406.2,9,1024,1.1
130,331.8,9,1024,1.3
270,341.2,9,1024,1.5
148,423.6,9,1024,1.7
22,366.3,9,1024,2.0
